NodeNumber,Equivalent Stress (Pa)
337,7.1257e+007
338,9.5809e+007
339,1.3137e+008
340,1.7412e+008
341,2.1777e+008
342,2.5257e+008
343,2.5039e+008
344,2.4817e+008
345,2.2022e+008
346,2.1501e+008
347,2.0994e+008
348,1.6923e+008
349,6.2381e+007
350,1.0882e+008
351,2.0978e+006
352,2.7438e+006
353,4.8066e+006
354,7.9352e+006
355,9.4702e+006
356,8.1579e+006
357,5.5559e+006
358,3.1459e+006
359,2.0978e+008
360,2.1907e+008
361,2.1531e+008
362,2.2703e+008
363,2.487e+008
364,2.4989e+008
365,2.4151e+008
366,2.0164e+008
367,1.5581e+008
368,1.1515e+008
369,8.0496e+007
370,6.0551e+007
371,4.1777e+007
372,2.7506e+007
373,1.5839e+007
374,5.7274e+006
375,1.9019e+008
376,6.8676e+007
377,1.0311e+008
378,3.0642e+007
379,2.3547e+007
380,3.0202e+006
381,2.2366e+007
382,3.1935e+007
383,2.0948e+008
384,2.3585e+008
385,2.253e+008
386,2.2887e+008
387,2.039e+008
388,1.6669e+008
389,2.1438e+008
390,2.1059e+008
391,2.1513e+008
392,2.1452e+008
393,2.1152e+008
394,2.0968e+008
395,2.0714e+008
396,2.0797e+008
397,2.0799e+008
398,2.0915e+008
399,2.0943e+008
400,2.0911e+008
401,2.0899e+008
402,2.082e+008
403,2.0753e+008
404,2.093e+008
405,2.0964e+008
406,2.0843e+008
407,2.0831e+008
408,2.0987e+008
409,2.1122e+008
410,2.1021e+008
411,2.1086e+008
412,2.1038e+008
413,2.1103e+008
414,2.1119e+008
415,2.1143e+008
416,2.1038e+008
417,2.1004e+008
418,2.101e+008
419,2.1064e+008
420,2.1041e+008
421,2.1065e+008
422,2.1124e+008
423,2.0936e+008
424,2.0987e+008
425,2.1079e+008
426,2.1002e+008
427,2.1049e+008
428,2.0986e+008
429,2.0969e+008
430,2.1072e+008
431,2.1117e+008
432,2.1132e+008
433,2.1002e+008
434,2.0996e+008
435,2.0966e+008
436,2.1131e+008
437,2.1129e+008
438,2.1037e+008
439,2.1087e+008
440,2.0961e+008
441,2.1042e+008
442,1.8306e+008
443,1.9482e+008
444,2.0878e+008
445,2.0001e+008
446,2.0326e+008
447,2.0528e+008
448,2.0111e+008
449,1.9695e+008
450,2.1326e+008
451,1.8711e+008
452,2.1555e+008
453,1.8788e+008
454,1.1979e+008
455,9.6099e+007
456,2.0951e+008
457,2.0608e+008
458,1.7904e+008
459,1.2403e+008
460,9.2189e+007
461,1.8681e+008
462,2.0345e+008
463,1.3016e+008
464,1.4401e+008
465,1.1534e+008
466,2.1143e+008
467,2.0878e+008
468,2.0916e+008
469,2.0892e+008
470,2.0963e+008
471,2.0927e+008
472,2.1002e+008
473,2.0914e+008
474,2.1015e+008
475,2.0936e+008
476,2.1041e+008
477,2.1148e+008
478,2.0985e+008
479,2.1092e+008
480,2.1018e+008
481,2.1094e+008
482,2.1123e+008
483,2.1024e+008
484,2.1163e+008
485,2.1046e+008
486,2.1058e+008
487,2.1036e+008
488,2.1106e+008
489,2.1062e+008
490,2.1129e+008
491,2.108e+008
492,2.1086e+008
493,2.0943e+008
494,2.083e+008
495,2.1141e+008
496,2.1056e+008
497,2.1015e+008
498,2.096e+008
499,2.0987e+008
500,2.1046e+008
501,2.1014e+008
502,2.0953e+008
503,2.0978e+008
504,2.1025e+008
505,2.0972e+008
506,2.0985e+008
507,2.0911e+008
508,2.0887e+008
509,2.0865e+008
510,2.13e+008
511,2.121e+008
512,2.1228e+008
513,2.1149e+008
514,2.102e+008
515,2.1128e+008
516,2.1326e+008
517,2.1156e+008
518,1.8871e+008
519,1.2461e+008
520,1.3816e+008
521,2.138
522,16.227
523,71.068
524,313.35
525,1589.1
526,6170.5
527,26277
528,1.1929e+005
529,4.8345e+005
530,1.3785e+006
531,5.2189e+006
532,1.7299e+007
533,3.7817e+007
534,7.9149e+007
535,1.1338e+008
536,1.4484e+008
537,1.6644e+008
538,2.5328
539,1.621e+008
540,1.3077e+008
541,9.1964e+007
542,5.6426e+007
543,2.5415e+007
544,1.0266e+007
545,3.5498e+006
546,7.8729e+005
547,1.8624e+005
548,41298
549,11220
550,2222.2
551,524.36
552,122.29
553,22.43
554,2.3676e+007
555,1.7971e+007
556,6.927e+006
557,2.1143e+006
558,5.2679e+005
559,174.3
560,142.78
561,92.352
562,29.999
563,6.0747
564,1.3624e+008
565,1.5993e+008
566,1.7233e+008
567,1.7481e+008
568,1.9354e+008
569,1.8154e+008
570,1.889e+008
571,1.9904e+008
572,1.7835e+008
573,1.7103e+008
574,1.4297e+008
575,1.5518
576,1.6434
577,1.4564
578,1.8243
579,1.3505
580,1.2424
581,1.8848
582,2.1038e+008
583,1.9099e+008
584,1.4958e+008
585,1.1065e+008
586,7.3125e+007
587,4.4581e+007
588,5.7193e+007
589,7.3011e+007
590,1.0179e+008
591,1.0483e+008
592,9.2108e+007
593,9.2896e+007
594,1.0552e+008
595,9.8723e+007
596,7.6552e+007
597,5.1625e+007
598,4.4737e+007
599,6.8963e+007
600,1.0911e+008
601,1.5189e+008
602,1.9006e+008
603,2.103e+008
604,1.186e+008
605,1.2954e+008
606,1.3245e+008
607,1.5136e+008
608,1.8641e+008
609,1.5367e+008
610,1.6592e+008
611,1.9542e+008
612,1.5508e+008
613,1.7459e+008
614,1.8998e+008
615,2.0534e+008
616,1.8098e+008
617,2.0067e+008
618,2.0861e+008
619,2.0856e+008
620,2.1082e+008
621,2.1336e+008
622,2.1281e+008
623,2.1011e+008
624,2.1023e+008
625,2.1222e+008
626,2.1046e+008
627,2.1018e+008
628,2.1101e+008
629,2.1028e+008
630,2.1033e+008
631,2.093e+008
632,2.1048e+008
633,2.0983e+008
634,2.0967e+008
635,2.0997e+008
636,2.1035e+008
637,1.1005e+008
638,2.096e+008
639,2.0753e+008
640,1.1257e+008
641,1.0982e+008
642,1.1399e+008
643,2.1725e+008
644,1.9709e+008
645,2.1328e+008
646,2.0742e+008
647,1.094e+008
648,2.0657e+008
649,2.1852e+008
650,1.7122e+008
651,1.1169e+008
652,1.4333e+008
653,1.1561e+008
654,1.1505e+008
655,1.1065e+008
656,1.1263e+008
657,1.1265e+008
658,1.0774e+008
659,2.0933e+008
660,2.0825e+008
661,2.0705e+008
662,2.1993e+008
663,1.0984e+008
664,1.0145e+008
665,1.0079e+008
666,9.8365e+007
667,1.8437e+008
668,1.4056e+008
669,1.1158e+008
670,1.0772e+008
671,1.138e+008
672,1.0659e+008
673,9.7691e+007
674,8.7558e+007
675,8.8539e+007
676,8.7395e+007
677,9.102e+007
678,9.48e+007
679,9.4473e+007
680,9.7851e+007
681,1.183e+008
682,1.1683e+008
683,1.0245e+008
684,9.0133e+007
685,8.7011e+007
686,1.1185e+008
687,1.3461e+008
688,1.4042e+008
689,1.1256e+008
690,1.2705e+008
691,9.9018e+007
692,9.1172e+007
693,9.532e+007
694,1.0202e+008
695,7.5448e+007
696,8.713e+007
697,1.3855e+008
698,1.0771e+008
699,1.2592e+008
700,1.0578e+008
701,1.5267e+008
702,1.4913e+008
703,1.448e+008
704,1.3907e+008
705,1.1341e+008
706,9.5832e+007
707,1.0064e+008
708,9.9666e+007
709,1.1146e+008
710,1.2989e+008
711,8.5269e+007
712,9.0996e+007
713,1.1782e+008
714,1.2054e+008
715,1.2189e+008
716,1.0544e+008
717,1.1132e+008
718,1.3708e+008
719,1.4128e+008
720,1.8806e+008
721,1.2128e+008
722,1.022e+008
723,1.2655e+008
724,1.0844e+008
725,1.3255e+008
726,1.3919e+008
727,1.2915e+008
728,1.0597e+008
729,2.0816e+008
730,2.0875e+008
731,2.1104e+008
732,2.1137e+008
733,2.0904e+008
734,2.0774e+008
735,2.1231e+008
736,2.1263e+008
737,2.1261e+008
738,2.0994e+008
739,2.0922e+008
740,2.1295e+008
741,2.1246e+008
742,2.1294e+008
743,2.1325e+008
744,2.0963e+008
745,2.1162e+008
746,2.1089e+008
747,2.0946e+008
748,2.1138e+008
749,2.1252e+008
750,2.1142e+008
751,2.11e+008
752,2.1188e+008
753,2.1469e+008
754,2.1454e+008
755,2.1428e+008
756,2.1289e+008
757,2.1349e+008
758,2.1134e+008
759,2.1502e+008
760,2.1507e+008
761,2.1146e+008
762,2.1166e+008
763,2.1125e+008
764,2.1124e+008
765,2.1116e+008
766,2.1083e+008
767,2.1195e+008
768,2.1323e+008
769,2.1144e+008
770,2.1173e+008
771,2.1056e+008
772,2.0673e+008
773,2.1328e+008
774,2.106e+008
775,2.0552e+008
776,2.1363e+008
777,2.1291e+008
778,2.1314e+008
779,2.1341e+008
780,2.091e+008
781,2.1099e+008
782,2.0988e+008
783,2.1449e+008
784,2.1457e+008
785,2.109e+008
786,2.1232e+008
787,2.1152e+008
788,2.126e+008
789,2.094e+008
790,2.1183e+008
791,2.0933e+008
792,2.123e+008
793,2.1087e+008
794,2.1379e+008
795,2.148e+008
796,2.1249e+008
797,2.106e+008
798,2.1261e+008
799,2.1322e+008
800,2.0916e+008
801,2.1071e+008
802,2.1267e+008
803,2.112e+008
804,2.1257e+008
805,2.0814e+008
806,2.1217e+008
807,2.1206e+008
808,2.1599e+008
809,2.0882e+008
810,2.1204e+008
811,2.1058e+008
812,2.0975e+008
813,2.1017e+008
814,2.0975e+008
815,2.0972e+008
816,2.0725e+008
817,2.074e+008
818,2.0887e+008
819,2.0954e+008
820,2.0896e+008
821,2.0875e+008
822,2.1067e+008
823,2.0873e+008
824,2.1023e+008
825,2.0962e+008
826,2.1054e+008
827,2.0713e+008
828,2.0977e+008
829,2.0743e+008
830,2.0756e+008
831,2.0765e+008
832,2.0752e+008
833,2.1092e+008
834,2.0849e+008
835,2.0832e+008
836,2.0555e+008
837,2.07e+008
838,2.0547e+008
839,2.0694e+008
840,2.0961e+008
841,2.0724e+008
842,2.106e+008
843,2.0733e+008
844,2.1536e+008
845,2.1609e+008
846,2.1614e+008
847,2.2141e+008
848,2.0969e+008
849,2.0376e+008
850,2.096e+008
851,2.1097e+008
852,2.1196e+008
853,2.0914e+008
854,2.1053e+008
855,2.1049e+008
856,2.0625e+008
857,2.1056e+008
858,2.0958e+008
859,2.1301e+008
860,2.1093e+008
861,2.1124e+008
862,2.1148e+008
863,2.0982e+008
864,2.1241e+008
865,2.1167e+008
866,2.1273e+008
867,2.151e+008
868,2.1338e+008
869,2.0855e+008
870,2.1374e+008
871,2.0992e+008
872,2.1397e+008
873,2.1405e+008
874,2.1093e+008
875,2.1228e+008
876,2.1267e+008
877,2.1115e+008
878,2.1027e+008
879,2.1035e+008
880,2.1279e+008
881,2.1291e+008
882,2.1246e+008
883,2.1227e+008
884,2.1227e+008
885,2.1388e+008
886,2.135e+008
887,2.0961e+008
888,2.1222e+008
889,2.12e+008
890,2.1224e+008
891,2.1196e+008
892,2.1083e+008
893,2.1023e+008
894,2.1138e+008
895,2.1332e+008
896,2.1129e+008
897,2.1367e+008
898,2.1337e+008
899,2.0959e+008
900,2.1227e+008
901,2.1152e+008
902,2.0848e+008
903,2.126e+008
904,2.0953e+008
905,2.124e+008
906,2.0987e+008
907,2.1057e+008
908,2.1075e+008
909,2.1086e+008
910,2.0816e+008
911,2.1135e+008
912,2.1141e+008
913,2.1126e+008
914,2.1131e+008
915,2.0489e+008
916,2.1134e+008
917,2.0549e+008
