NodeNumber,Total Deformation (m)
1,2.5867e-004
2,2.5868e-004
3,2.747e-004
4,2.865e-004
5,2.9083e-004
6,2.865e-004
7,2.7471e-004
8,2.5856e-004
9,2.5857e-004
10,2.7459e-004
11,2.8639e-004
12,2.9073e-004
13,2.864e-004
14,2.746e-004
15,2.8631e-005
16,2.8675e-005
17,3.8217e-005
18,4.5811e-005
19,4.8701e-005
20,4.5801e-005
21,3.8231e-005
22,2.8063e-005
23,2.8096e-005
24,3.7698e-005
25,4.5317e-005
26,4.8236e-005
27,4.5324e-005
28,3.7714e-005
29,0.
30,0.
31,0.
32,0.
33,0.
34,0.
35,0.
36,4.5043e-010
37,2.5631e-007
38,1.4639e-009
39,5.7363e-009
40,1.9264e-008
41,5.8787e-008
42,1.5025e-007
43,1.8897e-007
44,0.
45,0.
46,0.
47,0.
48,0.
49,0.
50,0.
51,1.021e-014
52,1.545e-012
53,1.975e-014
54,6.3631e-014
55,2.046e-013
56,5.9018e-013
57,1.1843e-012
58,2.4276e-004
59,2.312e-004
60,2.2698e-004
61,2.3119e-004
62,2.4275e-004
63,1.9915e-005
64,1.3946e-005
65,1.1802e-005
66,1.3964e-005
67,1.99e-005
68,4.7486e-006
69,4.747e-006
70,5.7452e-006
71,6.5738e-006
72,6.9937e-006
73,6.7233e-006
74,6.0604e-006
75,5.4003e-006
76,2.6381e-006
77,3.8478e-006
78,3.1844e-006
79,2.8986e-006
80,2.7317e-006
81,2.885e-006
82,3.0294e-006
83,3.1438e-006
84,3.2205e-006
85,3.2455e-006
86,3.2052e-006
87,3.0825e-006
88,3.4352e-004
89,3.0929e-004
90,2.7511e-004
91,2.411e-004
92,2.0749e-004
93,1.7455e-004
94,1.4263e-004
95,1.122e-004
96,8.3865e-005
97,5.8396e-005
98,3.6689e-005
99,1.9891e-005
100,9.9771e-006
101,5.3392e-006
102,3.4348e-004
103,3.4385e-004
104,3.4418e-004
105,3.4441e-004
106,3.4451e-004
107,3.4443e-004
108,3.4421e-004
109,3.4389e-004
110,2.8849e-006
111,4.5868e-006
112,8.3203e-006
113,1.7394e-005
114,3.2698e-005
115,5.2963e-005
116,7.7352e-005
117,1.0474e-004
118,1.3471e-004
119,1.6631e-004
120,1.9904e-004
