NodeNumber,Equivalent Stress (Pa)
1,4.47E+07
2,4.25E+07
3,2.10E+07
4,2.65E+07
5,3.59E+07
6,2.95E+07
7,2.20E+07
8,3.99E+07
9,4.06E+07
10,1.60E+07
11,2.58E+07
12,3.28E+07
13,2.55E+07
14,1.94E+07
15,2.92E+08
16,2.93E+08
17,2.26E+08
18,2.06E+08
19,2.23E+08
20,1.95E+08
21,2.34E+08
22,2.74E+08
23,2.81E+08
24,2.35E+08
25,1.97E+08
26,1.69E+08
27,1.99E+08
28,2.08E+08
29,1.55E+05
30,1.02E+08
31,5.57E+05
32,3.17E+06
33,1.24E+07
34,3.26E+07
35,7.49E+07
36,2.58E+05
37,1.91E+07
38,8.61E+05
39,3.67E+06
40,1.28E+07
41,2.78E+07
42,3.52E+07
43,1.37E+07
44,4.1507
45,639.53
46,9.2576
47,42.685
48,133.3
49,338.5
50,541.83
51,3.3848
52,196.16
53,11.249
54,52.899
55,162.94
56,251.6
57,303.61
58,5.69E+07
59,3.82E+07
60,3.34E+07
61,4.47E+07
62,5.58E+07
63,3.36E+08
64,2.79E+08
65,3.10E+08
66,2.85E+08
67,3.10E+08
68,3.42E+08
69,3.43E+08
70,3.20E+08
71,3.02E+08
72,3.31E+08
73,3.04E+08
74,3.14E+08
75,3.40E+08
76,2.55E+08
77,3.16E+08
78,2.95E+08
79,2.70E+08
80,2.62E+08
81,2.66E+08
82,2.67E+08
83,2.68E+08
84,2.71E+08
85,2.68E+08
86,2.67E+08
87,2.68E+08
88,1.65E+06
89,8.07E+06
90,2.36E+07
91,3.75E+07
92,5.64E+07
93,8.10E+07
94,1.23E+08
95,1.77E+08
96,1.53E+08
97,1.78E+08
98,2.26E+08
99,2.57E+08
100,2.90E+08
101,2.92E+08
102,2.27E+06
103,7.69E+06
104,1.54E+07
105,2.32E+07
106,2.58E+07
107,2.11E+07
108,1.46E+07
109,6.47E+06
110,2.67E+08
111,2.92E+08
112,2.86E+08
113,2.49E+08
114,2.40E+08
115,2.08E+08
116,2.09E+08
117,1.75E+08
118,1.21E+08
119,8.76E+07
120,6.14E+07
121,4.00E+07
122,2.16E+07
123,8.14E+06
124,2.57E+08
125,2.69E+08
126,2.68E+08
127,2.69E+08
128,2.72E+08
129,2.71E+08
130,2.67E+08
131,2.63E+08
132,2.62E+08
133,3.14E+08
134,2.93E+08
135,2.18E+08
136,2.33E+08
137,2.30E+08
138,2.11E+08
139,2.02E+08
140,2.04E+08
141,2.17E+08
142,1.81E+08
143,1.97E+08
144,1.96E+08
145,1.86E+08
146,1.84E+08
147,2.03E+08
148,2.45E+08
149,2.39E+08
150,7.45E+07
151,3.34E+07
152,1.20E+07
153,3.17E+06
154,6.01E+05
155,559.23
156,325.6
157,134.33
158,43.094
159,9.2048
160,1.12E+08
161,5.96E+07
162,1.95E+08
163,1.07E+08
164,1.70E+08
165,1.97E+08
166,2.07E+08
167,1.96E+08
168,1.82E+08
169,1.54E+08
170,2.17E+08
171,6.00E+07
172,1.91E+08
173,2.07E+08
174,2.16E+08
175,1.83E+08
176,1.90E+08
177,1.93E+08
178,1.73E+08
179,2.21E+08
180,2.04E+08
181,2.11E+08
182,2.09E+08
183,14.753
184,1.14E+08
185,5.50E+07
186,2.28E+07
187,4.85E+06
188,1.23E+06
189,3.17E+05
190,70194
191,16534
192,3462.5
193,901.13
194,175.61
195,36.538
196,12.825
197,12.59
198,11.768
199,8.817
200,4.5456
201,9.7194
202,11.798
203,11.874
204,32.176
205,147.36
206,614.93
207,2454.8
208,11556
209,48293
210,1.92E+05
211,9.34E+05
212,3.92E+06
213,1.72E+07
214,6.25E+07
215,9.26E+07
216,2.81E+08
217,2.28E+08
218,2.99E+08
219,3.13E+08
220,3.24E+08
221,3.32E+08
222,3.31E+08
223,3.46E+08
224,3.47E+08
225,3.56E+08
226,3.56E+08
227,3.55E+08
228,3.48E+08
229,3.70E+08
230,3.62E+08
231,3.82E+08
232,3.90E+08
233,3.76E+08
234,3.78E+08
235,3.93E+08
236,3.69E+08
237,3.84E+08
238,3.86E+08
239,3.87E+08
240,3.88E+08
241,3.94E+08
242,3.90E+08
243,3.89E+08
244,3.92E+08
245,3.91E+08
246,3.89E+08
247,3.81E+08
248,3.83E+08
249,3.80E+08
250,3.69E+08
251,3.57E+08
252,3.65E+08
253,3.59E+08
254,3.55E+08
255,3.56E+08
256,3.48E+08
257,3.50E+08
258,3.33E+08
259,3.28E+08
260,3.29E+08
261,3.27E+08
262,3.03E+08
263,3.02E+08
264,3.03E+08
265,2.94E+08
266,2.85E+08
267,2.82E+08
268,2.72E+08
269,2.68E+08
270,2.55E+08
271,2.29E+08
272,2.25E+08
273,2.37E+08
274,2.25E+08
275,2.55E+08
276,2.62E+08
277,2.69E+08
278,2.84E+08
279,2.85E+08
280,2.89E+08
281,2.82E+08
282,2.95E+08
283,2.99E+08
284,3.04E+08
285,3.09E+08
286,3.07E+08
287,3.17E+08
288,3.20E+08
289,3.16E+08
290,3.33E+08
291,3.28E+08
292,3.21E+08
293,3.31E+08
294,3.31E+08
295,3.35E+08
296,3.37E+08
297,3.34E+08
298,3.57E+08
299,3.30E+08
300,3.26E+08
301,3.40E+08
302,3.39E+08
303,3.47E+08
304,3.55E+08
305,3.42E+08
306,3.40E+08
307,3.56E+08
308,3.46E+08
309,3.33E+08
310,3.33E+08
311,3.42E+08
312,3.39E+08
313,3.30E+08
314,3.27E+08
315,3.27E+08
316,3.27E+08
317,3.20E+08
318,3.12E+08
319,3.09E+08
320,3.09E+08
321,3.04E+08
322,2.93E+08
323,2.85E+08
324,2.70E+08
325,2.60E+08
326,2.51E+08
327,2.43E+08
328,2.47E+08
329,2.77E+08
330,3.35E+06
331,2.75E+08
332,8.07E+06
333,1.98E+07
334,4.28E+07
335,6.28E+07
336,9.17E+07
337,1.27E+08
338,1.72E+08
339,2.23E+08
340,2.04E+08
341,2.08E+08
342,2.59E+08
343,2.66E+08
344,2.79E+08
345,2.83E+08
346,2.72E+08
347,2.71E+08
348,2.32E+08
349,2.25E+08
350,2.45E+08
351,4.97E+06
352,7.16E+06
353,1.26E+07
354,2.14E+07
355,2.54E+07
356,2.19E+07
357,1.45E+07
358,7.98E+06
359,2.72E+08
360,2.72E+08
361,2.80E+08
362,2.85E+08
363,2.78E+08
364,2.75E+08
365,2.04E+08
366,1.97E+08
367,1.86E+08
368,2.02E+08
369,1.44E+08
370,1.08E+08
371,7.40E+07
372,4.92E+07
373,2.89E+07
374,1.13E+07
375,2.40E+08
376,2.26E+08
377,2.41E+08
378,5.15E+07
379,4.46E+07
380,2.47E+07
381,4.18E+07
382,5.45E+07
383,3.54E+08
384,2.94E+08
385,2.74E+08
386,2.84E+08
387,3.09E+08
388,2.34E+08
389,2.59E+08
390,2.67E+08
391,2.74E+08
392,2.82E+08
393,2.86E+08
394,2.87E+08
395,3.09E+08
396,3.05E+08
397,3.16E+08
398,3.24E+08
399,3.29E+08
400,3.30E+08
401,3.45E+08
402,3.34E+08
403,3.53E+08
404,3.54E+08
405,3.61E+08
406,3.43E+08
407,3.79E+08
408,3.62E+08
409,3.76E+08
410,3.80E+08
411,3.81E+08
412,3.84E+08
413,3.89E+08
414,3.97E+08
415,3.93E+08
416,3.95E+08
417,3.91E+08
418,3.95E+08
419,3.93E+08
420,3.96E+08
421,4.11E+08
422,3.89E+08
423,3.93E+08
424,3.91E+08
425,3.84E+08
426,3.88E+08
427,3.79E+08
428,3.80E+08
429,3.89E+08
430,3.69E+08
431,3.60E+08
432,3.72E+08
433,3.53E+08
434,3.63E+08
435,3.43E+08
436,3.43E+08
437,3.40E+08
438,3.34E+08
439,3.21E+08
440,3.11E+08
441,3.05E+08
442,2.38E+08
443,2.57E+08
444,2.83E+08
445,3.31E+08
446,3.61E+08
447,3.85E+08
448,3.52E+08
449,3.16E+08
450,2.81E+08
451,2.35E+08
452,2.22E+08
