NodeNumber,Equivalent Stress (Pa)
367,7.64E+07
368,5.70E+07
369,4.00E+07
370,3.01E+07
371,2.08E+07
372,1.37E+07
373,7.86E+06
374,2.81E+06
375,7.26E+07
376,2.92E+07
377,4.85E+07
378,1.53E+07
379,1.17E+07
380,1.22E+06
381,1.12E+07
382,1.59E+07
383,2.07E+08
384,1.49E+08
385,1.08E+08
386,1.47E+08
387,2.00E+08
388,6.87E+07
389,9.41E+07
390,9.89E+07
391,1.07E+08
392,1.14E+08
393,1.20E+08
394,1.30E+08
395,1.46E+08
396,1.39E+08
397,1.46E+08
398,1.49E+08
399,1.53E+08
400,1.56E+08
401,1.71E+08
402,1.63E+08
403,1.76E+08
404,1.69E+08
405,1.76E+08
406,1.64E+08
407,2.02E+08
408,1.79E+08
409,1.84E+08
410,1.90E+08
411,1.92E+08
412,1.92E+08
413,1.93E+08
414,1.99E+08
415,1.97E+08
416,2.04E+08
417,2.09E+08
418,2.07E+08
419,2.00E+08
420,2.06E+08
421,2.18E+08
422,2.00E+08
423,2.18E+08
424,2.13E+08
425,2.00E+08
426,2.19E+08
427,2.03E+08
428,2.07E+08
429,2.22E+08
430,2.05E+08
431,1.96E+08
432,2.13E+08
433,1.97E+08
434,2.16E+08
435,1.99E+08
436,1.99E+08
437,2.00E+08
438,1.99E+08
439,1.86E+08
440,1.86E+08
441,1.78E+08
442,8.87E+07
443,1.04E+08
444,1.33E+08
445,1.75E+08
446,2.05E+08
447,2.27E+08
448,1.98E+08
449,1.61E+08
450,1.27E+08
451,8.64E+07
452,1.20E+08
453,7.91E+07
454,5.10E+07
455,3.87E+07
456,1.87E+08
457,1.73E+08
458,7.68E+07
459,5.28E+07
460,3.76E+07
461,8.95E+07
462,9.27E+07
463,6.31E+07
464,6.88E+07
465,5.05E+07
466,1.41E+08
467,1.53E+08
468,1.59E+08
469,1.66E+08
470,1.73E+08
471,1.74E+08
472,1.87E+08
473,1.75E+08
474,1.90E+08
475,1.89E+08
476,2.01E+08
477,1.77E+08
478,1.93E+08
479,1.85E+08
480,1.97E+08
481,1.89E+08
482,1.95E+08
483,1.85E+08
484,1.95E+08
485,1.92E+08
486,2.00E+08
487,2.02E+08
488,1.93E+08
489,1.88E+08
490,1.92E+08
491,1.81E+08
492,1.96E+08
493,1.90E+08
494,1.98E+08
495,1.84E+08
496,1.81E+08
497,1.89E+08
498,1.88E+08
499,1.75E+08
500,1.80E+08
501,1.80E+08
502,1.70E+08
503,1.71E+08
504,1.60E+08
505,1.67E+08
506,1.65E+08
507,1.58E+08
508,1.69E+08
509,1.52E+08
510,1.46E+08
511,1.44E+08
512,1.36E+08
513,1.31E+08
514,1.26E+08
515,1.19E+08
516,1.12E+08
517,1.06E+08
518,8.57E+07
519,5.08E+07
520,5.65E+07
521,0.91609
522,7.1248
523,31.542
524,140.78
525,723.07
526,2839.8
527,12223
528,56113
529,2.30E+05
530,6.60E+05
