NodeNumber,Total Deformation (m)
1,1.7262e-003
2,1.7264e-003
3,1.8318e-003
4,1.9094e-003
5,1.938e-003
6,1.9095e-003
7,1.8319e-003
8,1.7254e-003
9,1.7256e-003
10,1.831e-003
11,1.9088e-003
12,1.9373e-003
13,1.9089e-003
14,1.8312e-003
15,1.9747e-004
16,1.9744e-004
17,2.635e-004
18,3.1521e-004
19,3.348e-004
20,3.1512e-004
21,2.6348e-004
22,1.9368e-004
23,1.9353e-004
24,2.5999e-004
25,3.1197e-004
26,3.3175e-004
27,3.1199e-004
28,2.5998e-004
29,0.
30,0.
31,0.
32,0.
33,0.
34,0.
35,0.
36,2.9693e-009
37,1.5987e-006
38,9.7239e-009
39,3.7675e-008
40,1.2496e-007
41,3.7495e-007
42,9.437e-007
43,1.1652e-006
44,0.
45,0.
46,0.
47,0.
48,0.
49,0.
50,0.
51,7.3868e-014
52,1.0899e-011
53,1.4366e-013
54,4.608e-013
55,1.4676e-012
56,4.1905e-012
57,8.3587e-012
58,1.6215e-003
59,1.5454e-003
60,1.5175e-003
61,1.5453e-003
62,1.6214e-003
63,1.3645e-004
64,9.6381e-005
65,8.2378e-005
66,9.6611e-005
67,1.3664e-004
68,3.2776e-005
69,3.278e-005
70,4.0109e-005
71,4.582e-005
72,4.89e-005
73,4.6875e-005
74,4.2277e-005
75,3.7672e-005
76,1.7636e-005
77,2.5841e-005
78,2.1124e-005
79,1.9958e-005
80,1.841e-005
81,1.9776e-005
82,2.0988e-005
83,2.1915e-005
84,2.2488e-005
85,2.2666e-005
86,2.2345e-005
87,2.1388e-005
88,2.2851e-003
89,2.0598e-003
90,1.8347e-003
91,1.6106e-003
92,1.3891e-003
93,1.1717e-003
94,9.6065e-004
95,7.589e-004
96,5.7019e-004
97,3.9954e-004
98,2.5289e-004
99,1.382e-004
100,6.9483e-005
101,3.7157e-005
102,2.2844e-003
103,2.2869e-003
104,2.2891e-003
105,2.2907e-003
106,2.2914e-003
107,2.2909e-003
108,2.2895e-003
109,2.2875e-003
110,1.981e-005
111,3.1837e-005
112,5.7924e-005
113,1.2104e-004
114,2.2576e-004
115,3.6284e-004
116,5.2644e-004
117,7.09e-004
118,9.0786e-004
119,1.1169e-003
120,1.3329e-003
121,1.5536e-003
122,1.7913e-003
123,2.0377e-003
124,1.7649e-005
125,2.1189e-005
126,2.2162e-005
127,2.2503e-005
128,2.2338e-005
129,2.1783e-005
130,2.0885e-005
131,1.9722e-005
132,1.8406e-005
133,2.5862e-005
134,2.1122e-005
135,0.
136,1.2949e-005
137,7.6976e-006
138,0.
139,0.
140,0.
141,0.
142,0.
143,0.
144,0.
145,0.
146,0.
147,0.
148,1.2974e-005
149,6.7637e-006
150,0.
151,0.
152,0.
153,0.
154,0.
155,0.
156,0.
157,0.
158,0.
159,0.
160,0.
161,0.
162,0.
163,0.
164,0.
165,0.
166,0.
167,0.
168,0.
169,0.
170,0.
171,0.
172,0.
173,0.
174,0.
175,0.
176,0.
177,0.
178,0.
179,0.
180,0.
181,0.
182,0.
183,0.
184,0.
185,0.
