NodeNumber,Equivalent Stress (Pa)
1,4.33E+06
2,4.09E+06
3,1.85E+06
4,1.30E+06
5,1.97E+06
6,1.48E+06
7,1.79E+06
8,4.00E+06
9,4.04E+06
10,1.34E+06
11,1.30E+06
12,1.83E+06
13,1.27E+06
14,1.67E+06
15,6.48E+07
16,6.18E+07
17,5.01E+07
18,2.69E+07
19,1.34E+07
20,2.77E+07
21,4.89E+07
22,6.68E+07
23,6.51E+07
24,5.04E+07
25,2.50E+07
26,9.70E+06
27,2.44E+07
28,4.64E+07
29,13462
30,1.12E+07
31,46319
32,2.70E+05
33,1.10E+06
34,3.12E+06
35,7.94E+06
36,20637
37,2.12E+06
38,71494
39,3.16E+05
40,1.15E+06
41,2.77E+06
42,3.74E+06
43,1.78E+06
44,0.33938
45,53.181
46,0.74906
47,3.482
48,10.978
49,28.047
50,44.994
51,0.26359
52,16.264
53,0.89517
54,4.2914
55,13.344
56,20.686
57,25.023
58,5.39E+06
59,3.43E+06
60,8.97E+05
61,3.96E+06
62,5.33E+06
63,6.01E+07
64,4.61E+07
65,5.32E+07
66,4.75E+07
67,5.92E+07
68,6.39E+07
69,6.43E+07
70,6.09E+07
71,5.07E+07
72,5.27E+07
73,4.98E+07
74,5.73E+07
75,6.55E+07
76,3.07E+07
77,5.07E+07
78,4.31E+07
79,3.89E+07
80,3.02E+07
81,3.17E+07
82,3.21E+07
83,3.29E+07
84,3.35E+07
85,3.41E+07
86,3.35E+07
87,3.40E+07
88,1.12E+05
89,6.24E+05
90,2.12E+06
91,3.48E+06
92,5.37E+06
93,7.63E+06
94,1.15E+07
95,1.65E+07
96,2.24E+07
97,3.00E+07
98,3.83E+07
99,4.31E+07
100,4.44E+07
101,4.46E+07
102,1.42E+05
103,4.82E+05
104,9.11E+05
105,1.37E+06
106,1.53E+06
107,1.24E+06
108,8.76E+05
109,4.08E+05
110,3.84E+07
111,4.51E+07
112,4.44E+07
113,4.34E+07
114,3.86E+07
115,3.11E+07
116,2.34E+07
117,1.72E+07
118,1.20E+07
119,8.50E+06
120,5.84E+06
121,3.73E+06
122,1.93E+06
123,6.38E+05
124,3.10E+07
125,3.57E+07
126,3.41E+07
127,3.35E+07
128,3.29E+07
129,3.25E+07
130,3.31E+07
131,3.19E+07
132,3.11E+07
133,5.09E+07
134,4.27E+07
135,4.06E+07
136,2.09E+07
137,2.26E+07
138,3.64E+07
139,2.99E+07
140,3.28E+07
141,2.96E+07
142,2.61E+07
143,2.83E+07
144,2.98E+07
145,2.63E+07
146,2.48E+07
147,2.77E+07
148,3.03E+07
149,2.94E+07
150,7.85E+06
151,3.19E+06
152,1.07E+06
153,2.73E+05
154,50456
155,46.497
156,27.029
157,11.098
158,3.5261
159,0.74496
160,1.44E+07
161,8.26E+06
162,5.78E+06
163,1.40E+07
164,1.95E+07
165,2.26E+07
166,2.38E+07
167,2.26E+07
168,2.10E+07
169,1.80E+07
170,3.93E+07
171,8.56E+06
172,5.31E+06
173,3.31E+07
174,2.58E+07
175,2.44E+07
176,2.70E+07
177,2.77E+07
178,2.30E+07
179,2.80E+07
180,2.80E+07
181,3.21E+07
182,2.81E+07
183,1.206
184,8.57E+06
185,5.06E+06
186,2.08E+06
187,4.48E+05
188,1.11E+05
189,28309
190,6197.2
191,1440
192,297.53
193,76.622
194,14.673
195,3.0129
196,1.0537
197,1.0292
198,0.95595
199,0.71428
200,0.36713
201,0.79075
202,0.96252
203,0.97397
204,2.6552
205,12.367
206,52.336
207,211.15
208,1009.8
209,4264.1
210,17153
211,84559
212,3.63E+05
213,1.61E+06
214,5.54E+06
215,8.73E+06
216,5.56E+07
217,2.21E+07
218,5.70E+07
219,6.20E+07
220,6.50E+07
221,6.51E+07
222,6.37E+07
223,6.80E+07
224,6.80E+07
225,6.84E+07
226,6.58E+07
227,6.80E+07
228,6.50E+07
229,7.30E+07
230,6.55E+07
231,6.94E+07
232,6.90E+07
233,6.71E+07
234,6.63E+07
235,7.33E+07
236,6.71E+07
237,6.71E+07
238,7.23E+07
239,6.73E+07
240,6.84E+07
241,6.82E+07
242,6.68E+07
243,6.58E+07
244,6.74E+07
245,6.73E+07
246,6.68E+07
247,6.26E+07
248,6.11E+07
249,6.21E+07
250,6.36E+07
251,5.89E+07
252,6.13E+07
253,6.01E+07
254,5.69E+07
255,5.80E+07
256,5.77E+07
257,5.93E+07
258,5.31E+07
259,5.21E+07
260,5.18E+07
261,5.12E+07
262,4.65E+07
263,4.55E+07
264,4.57E+07
265,4.60E+07
266,4.13E+07
267,3.98E+07
268,3.49E+07
269,3.34E+07
270,3.02E+07
271,1.70E+07
272,1.82E+07
273,1.64E+07
274,4.07E+07
275,2.92E+07
276,3.37E+07
277,3.63E+07
278,4.18E+07
279,4.37E+07
280,4.65E+07
281,4.30E+07
282,4.68E+07
283,4.85E+07
284,5.10E+07
285,5.24E+07
286,5.36E+07
287,5.59E+07
288,5.53E+07
289,5.44E+07
290,6.06E+07
291,5.93E+07
292,5.57E+07
293,6.13E+07
294,5.94E+07
295,5.95E+07
296,6.13E+07
297,6.17E+07
298,6.89E+07
299,6.00E+07
300,5.97E+07
301,6.54E+07
302,6.35E+07
303,6.60E+07
304,6.67E+07
305,6.50E+07
306,6.28E+07
307,6.73E+07
308,6.63E+07
309,6.16E+07
310,6.24E+07
311,6.55E+07
312,6.47E+07
313,6.24E+07
314,6.17E+07
315,6.38E+07
316,6.14E+07
317,6.16E+07
318,6.08E+07
319,6.39E+07
320,6.13E+07
321,6.04E+07
322,6.08E+07
323,6.00E+07
324,5.78E+07
325,5.41E+07
326,5.08E+07
327,4.79E+07
328,5.83E+07
329,6.32E+07
330,2.21E+05
331,5.23E+07
332,6.38E+05
333,1.72E+06
334,3.89E+06
335,5.92E+06
336,8.56E+06
337,1.18E+07
338,1.59E+07
339,2.16E+07
340,2.83E+07
341,3.47E+07
342,3.99E+07
343,4.15E+07
344,4.10E+07
345,3.88E+07
346,3.72E+07
347,3.75E+07
348,2.08E+07
349,9.06E+06
350,1.69E+07
351,3.33E+05
352,4.30E+05
353,7.53E+05
354,1.25E+06
355,1.49E+06
356,1.28E+06
357,8.71E+05
358,4.94E+05
359,3.97E+07
360,3.77E+07
361,3.78E+07
362,3.98E+07
363,4.13E+07
364,4.14E+07
365,3.83E+07
366,3.24E+07
367,2.55E+07
368,1.90E+07
369,1.33E+07
370,1.00E+07
371,6.93E+06
372,4.56E+06
373,2.62E+06
374,9.37E+05
375,2.42E+07
376,9.73E+06
377,1.62E+07
378,5.10E+06
379,3.92E+06
380,4.06E+05
381,3.73E+06
382,5.31E+06
383,6.91E+07
384,4.96E+07
385,3.60E+07
386,4.90E+07
387,6.66E+07
388,2.29E+07
389,3.14E+07
390,3.30E+07
391,3.58E+07
392,3.81E+07
393,3.98E+07
394,4.32E+07
395,4.87E+07
396,4.63E+07
397,4.85E+07
398,4.97E+07
399,5.11E+07
400,5.18E+07
401,5.68E+07
402,5.42E+07
403,5.87E+07
404,5.64E+07
405,5.88E+07
406,5.47E+07
407,6.73E+07
408,5.98E+07
409,6.14E+07
410,6.32E+07
411,6.39E+07
412,6.38E+07
413,6.44E+07
414,6.65E+07
415,6.56E+07
416,6.78E+07
417,6.95E+07
418,6.91E+07
419,6.68E+07
420,6.88E+07
421,7.26E+07
422,6.67E+07
423,7.27E+07
424,7.09E+07
425,6.68E+07
426,7.31E+07
427,6.77E+07
428,6.91E+07
429,7.41E+07
430,6.83E+07
431,6.54E+07
432,7.11E+07
433,6.55E+07
434,7.19E+07
435,6.64E+07
436,6.62E+07
437,6.66E+07
438,6.62E+07
439,6.20E+07
440,6.20E+07
441,5.92E+07
442,2.96E+07
443,3.47E+07
444,4.42E+07
445,5.85E+07
446,6.84E+07
447,7.57E+07
448,6.60E+07
449,5.37E+07
450,4.23E+07
451,2.88E+07
452,4.01E+07
453,2.64E+07
454,1.70E+07
455,1.29E+07
456,6.25E+07
457,5.77E+07
458,2.56E+07
459,1.76E+07
460,1.25E+07
461,2.98E+07
462,3.09E+07
463,2.10E+07
464,2.29E+07
465,1.68E+07
466,4.70E+07
467,5.10E+07
468,5.30E+07
