NodeNumber,Total Deformation (m)
1,9.0126e-003
2,9.0168e-003
3,9.5049e-003
4,9.8665e-003
5,9.9997e-003
6,9.8685e-003
7,9.5085e-003
8,9.0107e-003
9,9.0149e-003
10,9.5032e-003
11,9.8648e-003
12,9.998e-003
13,9.8668e-003
14,9.5067e-003
15,1.1354e-003
16,1.143e-003
17,1.5717e-003
18,1.8958e-003
19,2.0165e-003
20,1.8985e-003
21,1.5772e-003
22,1.1238e-003
23,1.1296e-003
24,1.5613e-003
25,1.8875e-003
26,2.0087e-003
27,1.8901e-003
28,1.5662e-003
29,0.
30,0.
31,0.
32,0.
33,0.
34,0.
35,0.
36,4.23e-009
37,1.9821e-006
38,1.3797e-008
39,5.3045e-008
40,1.7431e-007
41,5.0901e-007
42,1.2155e-006
43,1.438e-006
44,0.
45,0.
46,0.
47,0.
48,0.
49,0.
50,0.
51,1.0103e-013
52,1.5043e-011
53,1.9658e-013
54,6.3137e-013
55,2.0129e-012
56,5.7596e-012
57,1.1521e-011
58,8.5256e-003
59,8.1663e-003
60,8.0342e-003
61,8.1642e-003
62,8.522e-003
63,7.1486e-004
64,4.3669e-004
65,3.5321e-004
66,4.3586e-004
67,7.1141e-004
68,1.178e-004
69,1.1793e-004
70,1.5351e-004
71,1.8043e-004
72,1.9616e-004
73,1.8551e-004
74,1.6336e-004
75,1.417e-004
76,4.1019e-005
77,8.3868e-005
78,5.919e-005
79,4.8959e-005
80,4.327e-005
81,5.3147e-005
82,6.1365e-005
83,6.7167e-005
84,7.0258e-005
85,6.9847e-005
86,6.5193e-005
87,5.5894e-005
88,1.164e-002
89,1.0594e-002
90,9.5481e-003
91,8.5039e-003
92,7.463e-003
93,6.4277e-003
94,5.4012e-003
95,4.3875e-003
96,3.3921e-003
97,2.4227e-003
98,1.4972e-003
99,7.1275e-004
100,2.7945e-004
101,1.161e-004
102,1.1623e-002
103,1.1629e-002
104,1.1635e-002
105,1.1639e-002
106,1.1642e-002
107,1.1643e-002
108,1.1643e-002
109,1.1642e-002
110,4.8186e-005
111,9.1391e-005
112,2.1433e-004
113,5.8527e-004
114,1.2945e-003
115,2.1863e-003
116,3.1375e-003
117,4.1163e-003
118,5.1263e-003
119,6.1502e-003
120,7.1836e-003
121,8.2234e-003
122,9.3331e-003
123,1.0478e-002
124,4.1243e-005
125,5.4722e-005
126,6.4369e-005
127,6.9e-005
128,6.9672e-005
129,6.685e-005
130,6.0951e-005
131,5.2735e-005
132,4.3296e-005
133,8.3873e-005
134,5.902e-005
135,0.
136,2.8478e-005
137,1.8746e-005
138,0.
139,0.
140,0.
141,0.
142,0.
143,0.
144,0.
145,0.
146,0.
147,0.
148,2.9772e-005
149,1.6236e-005
150,0.
151,0.
152,0.
153,0.
154,0.
155,0.
156,0.
157,0.
158,0.
159,0.
160,0.
161,0.
162,0.
163,0.
164,0.
165,0.
166,0.
167,0.
168,0.
169,0.
170,0.
171,0.
172,0.
173,0.
174,0.
175,0.
176,0.
177,0.
178,0.
179,0.
180,0.
181,0.
182,0.
183,0.
184,0.
185,0.
186,0.
187,0.
188,0.
189,0.
190,0.
191,0.
192,0.
193,0.
194,0.
195,0.
196,0.
197,0.
198,0.
199,0.
200,0.
201,0.
202,0.
203,0.
204,0.
205,0.
206,0.
207,0.
208,0.
209,0.
210,0.
211,0.
212,0.
213,0.
214,0.
215,0.
216,1.891e-005
217,1.3017e-005
218,1.7989e-005
219,1.854e-005
220,1.958e-005
221,2.1019e-005
222,2.2441e-005
223,2.4061e-005
224,2.5567e-005
225,2.681e-005
226,2.7863e-005
227,2.9013e-005
228,3.0276e-005
229,3.131e-005
230,3.1718e-005
231,3.2705e-005
232,3.3563e-005
233,3.3787e-005
234,3.4055e-005
235,3.4496e-005
236,3.4569e-005
237,3.4717e-005
238,3.5163e-005
239,3.4887e-005
240,3.5012e-005
241,3.4863e-005
242,3.4695e-005
243,3.4741e-005
244,3.431e-005
245,3.4081e-005
246,3.3847e-005
247,3.3238e-005
248,3.2952e-005
249,3.2519e-005
250,3.1923e-005
251,3.16e-005
252,3.0978e-005
253,3.0368e-005
254,2.9616e-005
255,2.8844e-005
256,2.8212e-005
257,2.7326e-005
258,2.6493e-005
259,2.5663e-005
260,2.473e-005
261,2.4056e-005
262,2.2998e-005
263,2.2089e-005
264,2.1092e-005
265,2.0226e-005
266,1.9039e-005
267,1.7985e-005
268,1.6973e-005
269,1.5872e-005
270,1.4658e-005
271,7.8835e-006
272,1.1071e-005
273,9.2251e-006
274,6.2232e-006
275,7.9198e-006
276,8.113e-006
277,8.2929e-006
278,8.5573e-006
279,8.7083e-006
280,8.8546e-006
281,8.9148e-006
282,9.0659e-006
283,9.2043e-006
284,9.4093e-006
285,9.4391e-006
286,9.6168e-006
287,9.8184e-006
288,9.8978e-006
289,9.9331e-006
290,1.013e-005
291,1.0102e-005
292,1.0389e-005
293,1.0645e-005
294,1.065e-005
295,1.0798e-005
296,1.064e-005
297,1.0837e-005
298,1.0873e-005
299,1.0856e-005
300,1.1016e-005
301,1.0952e-005
302,1.0978e-005
303,1.1017e-005
304,1.1296e-005
305,1.1082e-005
306,1.1114e-005
307,1.0979e-005
308,1.1154e-005
309,1.0959e-005
310,1.0819e-005
311,1.068e-005
312,1.0511e-005
313,1.0469e-005
